#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
7,0.02254891,20.03660216,17.74,10.542,9.679,1.3,0.039,0.03
25,0.07936537,-44.29029741,13.74,7.238,6.375,0.98,0.004,0.003
34,0.09946973,26.91823821,12.71,7.04,6.491,0.74,0.004,0.004
38,0.11104694,-79.06183133,23.84,9.614,8.723,0.78,0.016,0.012
47,0.13519236,-56.83524773,24.45,12.125,10.909,1.97,0.127,0.072
50,0.14287059,-53.09766277,16.89,7.256,6.579,0.8,0.004,0.003
54,0.15165558,17.96895579,20.97,11.685,10.679,1.71,0.102,0.065
55,0.15783323,-66.68310336,14.66,7.946,7.381,0.98,0.016,0.015
57,0.16828557,-69.67580068,33.89,9.353,8.353,0.79,0.013,0.009
58,0.17376341,62.17600484,26.06,7.665,7.11,0.67,0.006,0.005
68,0.20063628,16.98896499,31.8,10.017,8.903,1.17,0.024,0.016
74,0.22187281,35.75272213,24.22,11.364,10.112,1.36,0.075,0.038
80,0.24179216,-11.82353722,15.59,9.086,8.472,1.43,0.011,0.01
81,0.24386443,-4.93211471,23.43,9.377,8.656,1.28,0.015,0.013
84,0.25180722,27.88634368,18.9,10.686,9.7,1.33,0.05,0.032
93,0.29222255,-0.07592034,16.74,8.855,8.202,1.28,0.012,0.011
110,0.34870816,39.61081788,20.42,9.831,8.887,1.91,0.022,0.016
122,0.39937928,-77.06529438,14.77,6.43,4.928,0.47,0.003,0.002
128,0.41376473,73.61187664,15.2,6.74,6.521,0.63,0.004,0.004
135,0.42674592,-0.21749947,20.1,9.393,8.724,1.22,0.017,0.015
142,0.45374866,66.30600204,16.04,8.222,7.414,0.69,0.007,0.007
143,0.4551821,21.4621375,20.05,11.559,10.36,1.64,0.091,0.052
159,0.51081115,-2.76616306,16.92,7.275,6.968,0.81,0.006,0.007
169,0.53502093,-68.28020594,63.03,10.801,9.295,1.98,0.068,0.028
179,0.56886229,-13.40751554,14.91,7.548,6.956,0.9,0.005,0.004
184,0.58977565,11.00634091,29.75,9.574,8.541,1.21,0.021,0.014
194,0.62398938,8.48557854,26.53,6.069,5.735,0.77,0.004,0.004
223,0.69641117,2.1303764,21.58,7.994,7.336,1.65,0.011,0.01
238,0.7392741,-20.04607402,16.16,6.874,6.308,0.96,0.004,0.003
246,0.76368704,56.733184,18.29,10.937,9.887,1.56,0.043,0.027
249,0.77419621,31.87010321,13.24,9.436,8.844,1.03,0.019,0.017
276,0.85791177,20.66591788,15.55,8.237,7.555,0.95,0.01,0.008
277,0.85927886,-36.25120504,15.84,7.347,7.007,0.81,0.004,0.004
290,0.90411412,-31.09403248,15.26,8.423,7.844,1.03,0.009,0.008
293,0.91589999,-57.16443914,13.14,8.867,8.359,0.97,0.01,0.009
296,0.92207847,-28.39584776,25.29,9.209,8.325,1.11,0.018,0.014
301,0.93488487,-17.33597002,14.31,4.492,4.539,0.92,0.002,0.002
305,0.97206281,-28.3937693,20.44,8.56,7.738,0.96,0.01,0.008
308,0.98353978,14.37891704,13.9,7.445,7.126,0.84,0.005,0.006
325,1.04362757,39.12012608,14.48,9.314,8.65,1.07,0.015,0.013
340,1.07383315,-43.98832631,14.91,8.679,8.176,1.01,0.008,0.008
348,1.08880039,12.95705512,16.79,9.371,8.667,1.13,0.017,0.014
350,1.0993091,-57.32287483,21.14,11.832,10.498,1.62,0.092,0.044
351,1.1026229,-47.06812971,22.52,10.871,9.841,1.48,0.043,0.028
359,1.14426919,-76.87353696,17.09,9.851,9.159,0.88,0.024,0.021
400,1.23366004,23.26964739,39.06,8.763,7.902,0.93,0.013,0.01
404,1.23961728,45.67395209,14.53,8.024,7.407,1.21,0.01,0.009
407,1.24427458,-70.21220744,22.09,8.986,8.196,0.71,0.011,0.009
413,1.26034142,-36.01527326,19.78,8.384,7.815,0.87,0.008,0.007
420,1.28166779,-52.15142338,23.9,8.221,7.597,0.85,0.006,0.005
425,1.29047896,-62.84527102,14.25,8.846,8.199,0.83,0.011,0.01
428,1.29233645,45.78693438,86.98,11.771,10.131,1.41,0.08,0.03
436,1.32445343,-67.8312267,62.48,9.869,8.6,0.82,0.02,0.012
443,1.33394073,-5.70783255,25.38,5.958,4.738,1.05,0.003,0.002
439,1.33455564,-37.3516811,229.33,10.374,8.74,1.08,0.03,0.014
459,1.36813317,-61.22566452,18.57,9.641,8.897,0.95,0.016,0.014
460,1.36976446,22.22467477,22.2,10.067,9.232,1.14,0.026,0.02
462,1.37961808,-9.61729691,19.81,7.664,7.19,0.94,0.006,0.006
473,1.41782275,45.81245496,85.1,9.954,8.299,2.74,0.032,0.013
475,1.42333268,58.31365552,21.03,8.964,8.288,1.06,0.012,0.011
490,1.46861724,-41.7528821,24.85,8.221,7.574,0.92,0.007,0.007
493,1.47850515,18.23536692,26.24,8.156,7.514,0.82,0.009,0.007
494,1.47971363,-68.81162782,12.99,9.693,9.057,0.94,0.017,0.015
495,1.48151411,18.07622626,25.77,9.786,8.655,2.07,0.03,0.018
518,1.56474395,58.43668966,49.3,7.002,6.266,1.05,0.017,0.019
522,1.5777634,-49.07509405,39,6.319,5.763,0.64,0.002,0.002
544,1.65221045,29.02193518,72.98,7.008,6.155,0.75,0.006,0.004
560,1.70843563,-23.10742543,25.59,6.635,6.23,0.75,0.004,0.003
569,1.72480379,-3.62572272,18.71,8.923,8.31,1.05,0.014,0.013
577,1.75224377,32.87028504,15.97,10.58,9.711,1.47,0.045,0.032
599,1.81427471,-41.88961116,17.18,8.963,8.292,1,0.01,0.009
606,1.84336535,-25.35632439,20.63,7.602,7.106,0.91,0.006,0.007
616,1.88473813,-23.8189432,30.76,9.687,8.789,1.21,0.019,0.014
641,1.96614972,55.57701937,21.83,8.544,7.886,0.84,0.009,0.008
669,2.06820906,-14.82446576,36.18,7.786,7.107,1.02,0.007,0.005
677,2.09653333,29.09082805,33.6,2.003,2.05,0.73,0.003,0.004
682,2.10705914,6.6168073,25.15,8.352,7.671,0.97,0.011,0.009
687,2.11390101,17.42445447,45.64,12.731,10.939,1.92,0.318,0.093
689,2.11827092,34.93452295,12.72,8.113,7.47,0.86,0.009,0.007
691,2.12551099,52.33640337,14.43,8.186,7.808,0.96,0.006,0.007
699,2.17092314,36.62742794,30.26,6.808,6.271,0.69,0.004,0.003
705,2.1974024,86.78789828,16.24,9.102,8.462,0.7,0.013,0.012
722,2.23568502,12.804472,12.89,9.094,8.519,1.03,0.012,0.011
723,2.23740813,66.45664771,31.34,9.734,8.705,2.1,0.018,0.013
726,2.24830416,-39.73711336,18.22,8.487,7.793,0.95,0.008,0.006
737,2.26490408,40.84327725,16.09,8.124,7.039,0.75,0.008,0.006
746,2.29204036,59.15021814,59.89,2.72,2.318,0.56,0.003,0.003
753,2.31118231,32.47666637,17.75,10.355,9.438,1.21,0.034,0.024
754,2.31514306,25.28231728,22.07,8.627,7.859,2.31,0.01,0.009
755,2.31906353,65.07079864,17.03,8.209,7.132,0.69,0.009,0.006
759,2.33100682,17.53423872,19.28,7.85,7.143,0.79,0.007,0.007
761,2.3375862,-27.9879039,14.57,5.932,5.486,1.34,0.005,0.004
765,2.35224949,-45.74698836,23.28,5.187,3.993,0.98,0.003,0.002
768,2.36659201,19.11569982,13.8,8.792,8.031,1.3,0.013,0.011
772,2.377913,-34.11077214,16.26,9.369,8.597,0.98,0.014,0.011
787,2.43155816,-31.82493921,23.86,10.831,9.619,1.59,0.052,0.029
791,2.45189211,-40.8926432,13.92,9.337,8.622,1.11,0.013,0.011
792,2.45274609,-6.84116094,12.54,9.556,8.513,1.23,0.019,0.013
794,2.45885362,-33.78868219,17.08,9.944,8.95,1.86,0.02,0.014
801,2.47045485,-50.26778193,18.8,9.017,8.368,1.05,0.01,0.009
814,2.50945435,-82.22399743,13.45,6.625,5.397,0.5,0.004,0.002
840,2.57853868,-5.24851713,18.18,7.099,5.957,0.92,0.006,0.004
846,2.59569702,-13.98412856,13.53,9.657,9.027,1.28,0.018,0.016
856,2.62339153,15.23192856,12.91,8.813,8.286,1.06,0.011,0.01
865,2.65962298,-73.22443438,15.06,7.088,6.695,0.7,0.005,0.005
867,2.66293453,12.82027132,15.57,9.146,8.53,1.17,0.013,0.012
870,2.6697124,2.05549803,18.2,8.068,7.553,0.91,0.011,0.01
873,2.67810574,-12.57980381,15.35,7.139,5.975,0.74,0.005,0.003
889,2.73299802,48.1104051,16.45,9.079,8.461,0.95,0.011,0.01
895,2.75589325,29.55052263,12.6,9.057,8.61,1.18,0.015,0.015
910,2.81628415,-15.46732287,52.94,5.472,4.953,0.77,0.003,0.002
914,2.82543312,-32.80041484,15.08,9.47,8.681,1.1,0.02,0.016
919,2.8428974,30.44948927,29.35,8.897,8.028,0.95,0.012,0.01
920,2.85187794,23.81814771,18.6,8.892,8.297,0.91,0.014,0.013
924,2.87859206,-49.62920981,20.86,9.788,8.934,2.16,0.029,0.022
929,2.88657321,-58.90982912,17,9.106,8.435,0.82,0.012,0.01
934,2.89853096,-57.47238652,27.46,10.146,9.109,1.09,0.021,0.015
943,2.9061454,10.32845614,20.55,9.386,8.689,1.21,0.02,0.018
948,2.92120675,-39.22963982,29.15,11.276,10.121,1.54,0.06,0.033
950,2.93286698,-35.13339606,45.85,5.766,5.292,0.66,0.002,0.002
955,2.95060084,-17.55770035,16.48,9.77,9.115,1.49,0.021,0.019
956,2.95912203,28.42325717,12.79,8.095,7.572,1.43,0.009,0.009
974,3.01599223,27.09915401,38.88,10.061,8.83,1.22,0.028,0.017
975,3.02160438,-58.52479986,17.21,8.552,7.708,0.76,0.009,0.007
996,3.11749211,20.23439937,19.39,8.969,8.24,1,0.012,0.01
999,3.1254916,14.56369614,24.69,9.378,8.538,1.2,0.015,0.012
1000,3.12556151,-22.06708268,15.32,9.614,8.841,1.34,0.02,0.016
1003,3.13675616,-30.85929019,21.09,9.581,8.729,1.23,0.019,0.015
1013,3.1614569,-26.85334216,15.34,9.164,8.064,0.99,0.016,0.011
1022,3.18764257,4.97584483,15.9,11.161,9.963,1.78,0.069,0.039
1026,3.19984759,46.09543717,18.06,7.094,6.668,0.76,0.004,0.004
1031,3.20991289,-57.91269485,49.18,8.197,7.308,0.78,0.008,0.006
1044,3.26092514,-45.17634037,27.5,12.335,11.02,1.94,0.175,0.087
1055,3.28763586,20.38241602,24.96,12.049,10.654,2.95,0.146,0.063
1058,3.29159465,-43.06516969,14.72,8.075,7.608,0.86,0.007,0.008
1078,3.35151982,19.07164311,28.3,11.478,10.003,1.48,0.076,0.031
1085,3.37844842,-40.3583852,30,10.22,9.156,1.25,0.021,0.014
1086,3.37889713,41.03572671,28.57,6.101,5.752,0.74,0.003,0.003
1092,3.4075428,80.6653394,51.12,12.387,11.365,3.31,0.215,0.146
1103,3.44015009,8.19351658,13.08,7.895,7.44,0.96,0.009,0.009
1113,3.47011668,-74.68817231,22.86,9.664,8.819,0.87,0.022,0.018
1114,3.47070071,-56.99978872,14.45,7.754,7.211,0.76,0.006,0.005
1119,3.49998896,-10.95370289,24.14,10.702,9.505,1.58,0.042,0.025
1128,3.5176132,-11.31111824,23.68,9.115,8.455,1.19,0.015,0.013
1134,3.54247339,-7.19896207,21.66,7.942,7.378,1.17,0.009,0.009
1137,3.55448927,35.41805038,13.44,8.606,8.13,0.89,0.008,0.008
1140,3.5612937,-55.06959061,21.62,7.199,6.714,0.68,0.004,0.004
1144,3.584257,-27.53107904,20.23,8.227,7.487,1.2,0.011,0.009
1147,3.5868599,-21.19639424,18.19,7.472,6.947,0.9,0.006,0.004
1148,3.58886546,60.34163069,22.51,9.389,8.579,1.49,0.014,0.012
1173,3.662715,-39.79415833,13.85,9.989,9.256,1.37,0.019,0.016
1206,3.76898965,-68.53023276,22.9,9.437,8.658,0.93,0.016,0.013
1242,3.86528051,-16.13230661,191.86,13.066,11.817,17.24,0.508,0.292
1274,3.99933459,-9.47948877,13.96,9.226,8.616,1.25,0.016,0.015
1275,4.00005536,-22.42144969,19.25,10.751,9.867,1.67,0.051,0.036
1290,4.04350921,-27.77814247,13.79,10.18,9.401,1.38,0.03,0.025
1292,4.04683817,-79.85104079,56.76,7.53,6.672,0.53,0.006,0.004
1294,4.04772248,30.53248386,23.91,10.076,8.946,1.17,0.024,0.016
1297,4.06050132,35.17799696,14.92,9.801,9.009,0.97,0.016,0.013
1304,4.0927314,-19.39924084,12.54,9.566,8.879,1.22,0.018,0.016
1306,4.09768809,-22.58791845,13.71,8.736,7.983,1.21,0.011,0.009
1334,4.17970185,20.85666251,23.92,11.153,10.101,1.54,0.075,0.046
1347,4.21891882,81.66369004,30,9.732,8.742,0.82,0.018,0.013
1349,4.22329974,-52.6515923,43.45,7.619,6.925,1.19,0.005,0.004
1350,4.2241068,-7.19198605,15.06,9.665,8.99,1.47,0.025,0.022
1351,4.2248931,-15.47419,13.42,9.924,9.293,1.36,0.022,0.02
1366,4.27306518,38.68167915,12.88,4.696,4.625,1.31,0.002,0.002
1368,4.27473316,40.94809407,66.71,10.695,9.168,1.12,0.044,0.02
1382,4.31752626,-43.85269422,27.32,8.752,8.022,0.84,0.009,0.008
1402,4.38621007,-19.05108585,20.47,6.914,6.504,0.89,0.004,0.005
1408,4.41138633,-52.80123958,17.1,11.695,10.525,1.77,0.075,0.041
1411,4.41861908,37.53787056,14.58,9.864,9.177,1.15,0.023,0.02
1419,4.44607568,-66.35889343,12.92,8.734,7.875,0.73,0.01,0.008
1427,4.45769929,16.33108213,21.66,7.775,7.259,0.87,0.008,0.008
1437,4.47693979,0.37758269,16.24,9.519,8.881,1.26,0.02,0.018
1442,4.49036207,40.22750372,16.75,11.209,10.03,1.48,0.066,0.036
1444,4.49430346,-13.45563887,38.24,7.238,6.578,0.85,0.005,0.005
1463,4.56912088,10.20286093,61.67,12.457,10.999,2.2,0.193,0.083
1468,4.57680139,19.40442348,14.05,9.626,9.014,1.13,0.023,0.02
1473,4.58210555,36.7853273,23.11,4.605,4.52,0.68,0.002,0.002
1475,4.58559067,44.02195597,280.27,10.12,8.284,1.05,0.047,0.02
1481,4.60835719,-63.47735107,24.42,8.096,7.526,0.68,0.008,0.008
1487,4.62305316,-46.53212647,15.08,8.015,7.53,0.88,0.007,0.008
1499,4.67342336,-8.05265094,42.67,7.305,6.541,0.85,0.006,0.006
1500,4.67487484,-29.95688954,16.71,9.057,8.413,0.99,0.015,0.013
1532,4.77326587,-9.96411989,48.17,11.599,10.041,1.73,0.1,0.038
1541,4.80326792,13.57727485,14.21,8.989,8.261,1.07,0.015,0.012
1552,4.83911575,-40.12056208,18.95,8.93,8.198,0.99,0.01,0.008
1567,4.87276562,-54.0115118,13.16,9.176,8.554,1.04,0.012,0.011
1573,4.90192752,-7.2236756,21.59,7.625,7.083,0.98,0.008,0.006
1572,4.90202857,-69.10282386,14.55,9.478,8.816,0.84,0.016,0.014
1582,4.9531931,-60.91218601,16.31,8.623,8.031,0.82,0.01,0.009
1598,5.00213822,38.22806865,40.25,7.735,7.042,0.81,0.008,0.006
1613,5.04614172,-55.99399669,14.46,10.854,9.887,1.29,0.035,0.024
1623,5.07095779,-77.22264886,19.35,8.536,7.944,0.69,0.012,0.011
1625,5.07658522,-32.76912947,19.39,9.401,8.597,1.62,0.019,0.015
1654,5.18532728,-15.66720786,17.37,10.056,9.198,1.26,0.025,0.02
1668,5.22523196,-29.68962325,12.68,9.004,8.432,1.21,0.012,0.011
1669,5.22549183,32.97816304,14,7.276,6.771,1.32,0.014,0.012
1673,5.23346296,63.66753423,13.2,9.406,8.832,0.99,0.016,0.015
1674,5.23788452,67.66729201,31.49,8.677,7.791,1.51,0.022,0.017
1686,5.28010785,37.96869954,20.42,5.676,5.207,0.73,0.003,0.003
1687,5.28324472,20.58754511,18.33,11.244,10.105,1.49,0.078,0.044
1691,5.30461937,-3.31197662,12.6,7.96,7.424,0.96,0.011,0.009
1704,5.35700589,28.32616929,14.99,8.212,7.768,0.95,0.008,0.008
1719,5.39830258,-66.47672144,23.22,10.695,9.791,1.02,0.035,0.026
1723,5.41571102,-47.1777127,19.82,11.154,9.88,2.27,0.05,0.027
1732,5.46832989,-23.00769985,13.41,8.109,7.411,1.5,0.012,0.011
1736,5.48870262,16.87708993,16.04,8.145,7.634,0.88,0.01,0.008
1742,5.51223118,-38.69924966,13.63,10.19,9.384,1.25,0.025,0.02
1745,5.5171862,-24.94445082,18,10.309,9.514,1.45,0.032,0.026
1746,5.51774848,-26.70947231,16.39,9.757,8.998,1.48,0.022,0.017
1779,5.64495308,-73.03224385,22.53,9.547,8.668,0.91,0.016,0.013
1795,5.69984257,-39.26235447,13.13,7.161,6.786,0.73,0.005,0.004
1803,5.71480399,-12.20958506,49.05,7.209,6.451,0.91,0.006,0.005
1807,5.73599468,-52.52522409,22.93,10.89,9.897,1.42,0.033,0.023
1813,5.75033827,22.37553791,24.68,8.371,7.648,0.9,0.013,0.01
1823,5.77034239,-65.12101551,21.66,8.565,7.964,1.22,0.013,0.012
1837,5.81659898,-33.1678323,44.97,10.138,8.859,1.15,0.023,0.014
1841,5.82475507,0.16365915,16.99,11.097,10.023,1.53,0.057,0.037
1866,5.90706384,-3.76335753,20.9,12.106,10.838,1.98,0.159,0.075
1871,5.91313965,43.64723639,22.65,9.583,8.782,1.16,0.021,0.017
1885,5.94775648,-36.86120296,23.75,12.073,10.76,1.79,0.107,0.053
1892,5.97214938,60.96163429,18.64,7.016,6.614,0.69,0.004,0.004
1893,5.9850805,-14.34641535,19.26,9.649,8.821,1.23,0.02,0.016
1897,5.99544109,18.12092114,17.09,10.761,9.796,1.37,0.061,0.04
1899,5.99792938,-17.81045389,15.9,8.01,7.489,0.97,0.008,0.007
1914,6.05560073,-75.67920933,14.6,9.047,8.365,0.75,0.013,0.011
1923,6.071122,77.83367157,13.28,9.226,8.518,0.75,0.014,0.012
1933,6.09100626,-24.84827512,20.81,10.754,9.603,1.49,0.046,0.026
1936,6.10623866,-27.02697608,55.53,9.11,8.028,1.08,0.014,0.01
1937,6.11086061,-78.25037355,14.84,9.71,8.911,0.83,0.018,0.014
1954,6.17641442,-53.98392993,36.15,8.097,7.353,0.8,0.007,0.005
1955,6.18462337,-51.04324736,28.91,7.529,6.883,0.73,0.004,0.004
1976,6.2563907,-30.69702511,20.45,8.321,7.641,1.08,0.009,0.01
1977,6.26592725,-51.47933945,12.98,9.386,8.736,1.1,0.01,0.009
1978,6.2668186,45.68902231,23.77,10.92,9.676,1.31,0.04,0.022
1987,6.28540806,48.04745932,23.69,8.244,7.599,1.08,0.009,0.007
1989,6.29567764,16.99205716,15.77,8.496,7.954,0.82,0.011,0.013
2039,6.46969267,6.53144491,17.45,10.279,9.311,1.56,0.044,0.03
2066,6.53600426,-11.37688604,16.21,8.946,8.319,1.02,0.017,0.015
2072,6.55048418,-43.67990933,42.51,4.164,3.965,0.69,0.002,0.002
2081,6.57028075,-42.30512197,42.14,3.802,2.519,0.78,0.003,0.003
2102,6.6679638,30.19982954,22.32,11.142,10.074,1.59,0.082,0.05
2107,6.68487272,-49.47420151,14.9,9.463,8.84,1.07,0.012,0.011
2120,6.72057388,70.14277688,61.39,12.129,10.734,1.51,0.133,0.064
2128,6.74789021,37.28355547,17.16,10.468,9.675,1.47,0.042,0.033
2131,6.75751592,60.40253424,14.38,9.742,8.992,1.05,0.018,0.015
2135,6.76878613,25.04210825,12.51,7.224,6.705,0.84,0.006,0.005
2136,6.77197154,-36.56647579,18.1,10.718,9.63,1.47,0.04,0.025
2137,6.77291014,-70.24850054,16.04,11.411,10.362,1.27,0.07,0.043
2174,6.8610316,26.27896981,16.49,8.259,7.63,1.14,0.011,0.012
2177,6.87494216,-31.82825252,13.47,8.173,7.776,0.89,0.011,0.008
2190,6.91789141,-16.40952353,13.54,7.761,7.257,1.1,0.006,0.006
2194,6.93039386,-32.38721604,21.72,9.943,9.098,1.37,0.027,0.02
2230,7.06336796,-50.62802055,12.57,9.619,8.983,1.05,0.012,0.011
2235,7.08346734,10.1903414,27.51,6.555,6.095,0.86,0.004,0.005
2237,7.0882067,-20.33477667,31.01,7.166,6.502,0.87,0.006,0.004
2239,7.11006492,-29.28464781,17.88,7.666,7.17,0.9,0.007,0.006
2246,7.13813952,-11.23721888,15.86,7.509,6.937,0.89,0.006,0.007
2247,7.14384042,-16.22578934,26.64,11.165,9.677,1.4,0.053,0.023
2273,7.26340982,-27.39184214,15.85,10.332,9.335,1.35,0.031,0.022
2282,7.29211933,-50.61157574,20.6,9.372,8.529,1.06,0.011,0.009
2292,7.31739732,-5.90995058,17.88,8.552,7.848,0.97,0.01,0.009
2305,7.34814782,40.84182236,17.2,8.782,8.025,0.89,0.009,0.008
2311,7.36855475,-11.01701602,22.77,10.403,9.454,1.5,0.034,0.024
2318,7.38934534,-35.82361414,15.28,9.549,8.89,1.18,0.02,0.017
2319,7.39497842,-32.56943621,13.2,8.148,7.667,0.93,0.01,0.009
2326,7.42518534,30.16420187,14.45,8.471,7.945,1.11,0.017,0.016
2337,7.46586901,-14.86402653,23.62,6.598,6.188,0.87,0.004,0.004
2343,7.48020106,-1.11755497,14.05,7.876,7.503,0.9,0.009,0.009
2350,7.49972822,-5.7634572,18.62,10.636,9.537,1.35,0.04,0.025
2352,7.50728307,75.2428594,13.12,9.169,8.474,0.85,0.015,0.013
2355,7.53056566,29.75169567,17.62,5.532,5.245,0.86,0.004,0.004
2358,7.5362344,4.86007602,14.87,7.044,6.575,0.9,0.008,0.006
2364,7.5443096,54.46332826,25.04,11.518,10.393,1.9,0.088,0.052
2373,7.57526279,7.17913649,20.15,11.984,10.902,1.85,0.139,0.086
2381,7.59446346,-23.78771429,18.08,5.328,5.188,0.9,0.003,0.003
2383,7.60822774,-48.21469821,22.19,6.087,5.711,0.67,0.002,0.003
2397,7.62873789,22.76941622,29.34,10.401,9.269,1.18,0.036,0.023
2412,7.68544261,19.06728651,14.69,11.776,10.749,1.82,0.124,0.075
2414,7.68983095,47.53000544,20.91,8.499,7.82,1.05,0.012,0.01
2416,7.70028979,-56.59512448,17.5,9.992,9.159,1.23,0.019,0.015
2417,7.70440873,-41.39014399,14.06,9.835,9.155,1.33,0.017,0.015
2422,7.72581643,77.01948785,25.37,7.303,6.291,0.54,0.005,0.003
2426,7.72954364,73.3704711,36.36,12.422,10.858,1.45,0.236,0.082
2452,7.80092777,-41.88160437,16.21,10.283,9.361,1.36,0.024,0.018
2453,7.80170012,69.78543643,23.95,7.975,7.437,0.66,0.007,0.006
2479,7.87634042,11.53231372,13.44,7.494,7.205,0.83,0.006,0.007
2482,7.88192575,-4.28187876,15.9,8.713,8.142,1.03,0.016,0.015
2483,7.88216341,-11.27324041,15.36,8.892,8.182,1.58,0.019,0.015
2484,7.88566992,-62.95808549,23.35,4.278,4.33,0.52,0.002,0.003
2504,7.93498103,-53.48017332,13.68,10.65,9.709,1.38,0.031,0.022
2511,7.96261887,-27.82839734,15.71,10.528,9.719,1.45,0.035,0.028
2532,8.02934093,-12.29501561,13.78,9.022,8.351,1.06,0.015,0.013
2533,8.03376796,-5.17864035,21.4,9.635,8.693,1.86,0.021,0.016
2540,8.06139856,-63.09101331,38.85,11.123,9.549,1.1,0.235,0.093
2544,8.09205264,-24.64626669,13.81,7.774,7.343,1.01,0.007,0.006
2556,8.1189143,-68.00764433,19.65,10.587,9.504,1.47,0.032,0.021
2563,8.14137394,28.19747447,17.8,9.478,8.716,1.36,0.025,0.02
2568,8.14750345,20.29443334,12.69,6.751,5.488,0.72,0.004,0.003
2578,8.18247614,-63.03137868,21.52,5.126,5.075,0.49,0.003,0.003
2586,8.20832918,-13.25755041,13.63,9.605,8.822,1.27,0.022,0.018
2639,8.36665139,9.15318652,17.86,11.303,10.051,1.63,0.086,0.044
2643,8.37487039,40.1056161,16.68,8.385,7.831,1.62,0.013,0.011
2645,8.38488884,-38.11333796,13.56,8.008,7.336,0.92,0.006,0.005
2663,8.43270424,-35.00082229,27.63,9.387,8.457,1.06,0.023,0.018
2698,8.5645794,-2.39796493,12.82,9.223,8.611,1.07,0.019,0.017
2710,8.61338867,-6.50369569,24.09,7.46,6.964,0.88,0.009,0.01
2711,8.61506261,-52.37318294,39.03,6.128,5.625,0.62,0.003,0.002
2712,8.62236013,47.91539661,21.2,8.041,7.44,0.87,0.008,0.007
2716,8.64040952,62.90339141,19.32,8.318,7.792,1.15,0.011,0.01
2717,8.64778821,62.59047684,16.11,8.697,8.112,0.92,0.013,0.012
2724,8.67196043,11.13483499,16.31,8.77,8.232,0.96,0.013,0.012
2725,8.69614733,26.06594227,26.98,10.698,9.556,1.61,0.059,0.037
2729,8.7128823,-61.91601812,21.78,11.185,9.695,1.01,0.054,0.024
2736,8.73942158,4.38188851,22.17,10.028,9.074,1.24,0.022,0.016
2742,8.75416804,42.69495016,34.52,9.11,8.1,1.04,0.013,0.01
2743,8.75687799,-63.6938281,34.04,9.674,8.658,0.86,0.018,0.013
2747,8.76193151,-48.93468281,18.13,9.49,8.83,1.01,0.011,0.01
2751,8.78162814,7.72329878,14.68,8.976,8.417,1.11,0.016,0.015
2759,8.80509903,3.20901471,13.22,9.862,9.069,1.2,0.029,0.024
2760,8.80717832,51.83850877,22.87,8.092,7.443,1,0.008,0.007
2765,8.81517468,4.09335841,12.58,8.567,8.078,1.11,0.01,0.01
2786,8.88589662,-2.06618283,19.69,10.565,9.605,1.42,0.039,0.028
2787,8.88645754,-0.50545908,17.97,6.462,5.991,0.74,0.005,0.004
2789,8.88881583,-54.82174811,12.88,7.329,6.166,0.65,0.005,0.003
2790,8.89236491,-39.7458899,34.3,8.346,7.541,0.89,0.01,0.007
2797,8.90829835,79.25914588,20.78,10.246,9.353,0.93,0.029,0.021
2802,8.92139531,-48.00066027,27.61,6.04,5.564,0.77,0.002,0.002
2805,8.92763125,-8.20966183,13.43,9.208,8.59,1.26,0.02,0.018
2824,8.96750287,29.23785059,21.23,9.175,8.472,1.17,0.024,0.021
2829,8.97133007,21.32763787,12.99,9.01,8.471,1.01,0.017,0.016
2832,8.97867189,13.20750244,26.59,6.923,6.379,0.85,0.004,0.005
2841,9.00332958,-59.71719483,16.71,7.34,6.947,0.63,0.005,0.005
2843,9.0071737,-5.57045671,21.19,7.269,6.772,0.92,0.006,0.008
2844,9.00932703,29.99400304,18.93,8.71,7.958,1.7,0.021,0.017
2847,9.0151309,7.15600861,19.45,8.404,7.822,0.96,0.012,0.011
2848,9.01693123,-49.12780855,23.21,9.343,8.476,1.15,0.01,0.008
2852,9.02876061,-22.84221094,20.12,6.408,6.093,0.91,0.004,0.004
2853,9.03140187,-20.75859012,14.56,8.411,7.928,1.06,0.01,0.009
2883,9.13663377,-58.31469749,16.64,11.437,10.239,1.46,0.074,0.041
2888,9.15680392,-49.13200111,22.79,7.553,6.861,0.73,0.004,0.003
2894,9.18049134,48.82833163,18.03,9.43,8.727,1.23,0.017,0.015
2902,9.1950775,-24.50078757,13.78,8.958,8.008,1.06,0.013,0.01
2909,9.2135524,-24.49605646,15.34,8.935,8.226,1.1,0.013,0.011
2927,9.28405614,15.13999011,16.59,8.806,8.154,0.89,0.013,0.011
2941,9.33244613,-24.76722545,64.38,6.489,5.677,1.4,0.004,0.004
2944,9.34217573,-37.28798048,22.29,7.88,7.078,0.84,0.008,0.005
2979,9.48155869,-44.85250022,13.01,10.11,9.446,1.37,0.021,0.019
2981,9.48706616,47.40791719,20.92,8.089,7.597,0.97,0.007,0.007
3000,9.53334289,4.39681268,14.78,10.386,9.596,1.55,0.032,0.026
3006,9.56130273,84.67502086,24.8,7.764,7.187,0.6,0.009,0.007
3008,9.56400804,52.33242473,43.4,12.018,10.681,1.94,0.133,0.061
3010,9.5752004,-73.96249617,16.35,7.993,7.489,0.66,0.009,0.007
3022,9.62100473,43.00013144,19.86,10.894,10.005,1.86,0.045,0.032
